Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,GLON,GLAT,Gmag,BP-RP,e_Gmag,e_BP-RP,probs
5290724681552585088,119.3364424097233,-60.77894916580286,2.417824567372992,0.013505285,-4.103150489180182,0.020397618,11.959138178784627,0.014908297,27.437325,3.4591115,273.7971131449275,-15.945720661850023,13.930309935358075,1.139201993410559,0.0028047063784955237,0.005238819860576776,1.0
5290743613768192256,119.10109804355358,-60.53372387723797,2.512562471988315,0.057966653,-3.8883488906537456,0.07673921,10.877849220209114,0.07686702,,,273.5154881634373,-15.93543051306172,15.462637562476981,1.653299100407601,0.0032550266073282687,0.011786302127775181,1.0
5290743579408451840,119.08432040480096,-60.54506640662744,2.3666803337598137,0.047932323,-4.504900437498495,0.06310426,11.465248272751223,0.06315126,,,273.52203634025085,-15.947964424751524,16.988867814085715,2.204058426937534,0.0028895590342898647,0.01502601016024137,1.0
5294256415977734528,119.3648837007085,-58.40555328188676,2.3182601155680063,0.011417127,-4.6218341499590645,0.0140111325,10.486178637574875,0.014682234,21.614815,3.7232811,271.62513613635747,-14.828548623189494,13.731996399911546,1.1032560397335605,0.0028424112385971906,0.005802651621038731,1.0
5289064693871144064,117.16623744714424,-62.45484619645617,2.453031366011462,0.011120608,-3.7502267911057134,0.015731456,11.501265667635876,0.012124071,27.451195,2.5557272,274.8881661264003,-17.613314592826587,13.562761958709853,1.0193618023860687,0.0027953209911682647,0.005104923063229045,1.0
5290637064220112512,118.7641448769041,-61.324219511237125,2.539603582261865,0.07272989,-4.595410903462343,0.08199426,11.63336958959967,0.09688175,,,274.1709377990547,-16.440866235409228,17.463433129698863,2.5218311061330745,0.002975106402583592,0.02105516969452338,1.0
5290637476536975872,118.82557294368569,-61.30309632551483,2.380123540624605,0.033747654,-3.179449781840176,0.043569047,11.422195769925596,0.042214744,,,274.1651747404202,-16.405018278855568,16.096769777034748,1.9306702548562171,0.003035387748996471,0.009028820934568067,1.0
5290724715912323840,119.35500875835672,-60.77975872511427,2.4586712461236355,0.014060352,-4.578126276936435,0.018933086,11.07814631363792,0.01582558,25.024336,2.3068907,273.80220343690075,-15.938049411016769,12.912815713118864,0.9271747793611453,0.0028499243629476175,0.006199283910820014,1.0
5290743304530543744,119.10992797300202,-60.57340543245292,2.482635630122438,0.051314957,-3.8436686072122006,0.0672041,11.071868549125703,0.06158935,,,273.5542313601476,-15.94977208803217,17.034653173807072,2.2280539549795346,0.0029121433459501,0.014550063864860616,1.0
5290742892213699712,119.29040016581244,-60.53701726798935,2.411600868756109,0.027856497,-3.978392431237841,0.034200247,11.01497579541754,0.031610582,,,273.5630478353276,-15.854257871429784,15.947170997052194,2.0434788364497223,0.00278064021493596,0.006769094835692998,1.0
