# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Wed Apr 17 12:15:03 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01 -0.17553 7.00000 1.1326086521 2.4969814123    1.132 -0.011  3.7084  4.289    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.67e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 4.798 4.765 5.211 4.151
0.01 -0.17553 7.00000 1.1591215134 2.5010397936    1.158  0.038  3.7160  4.279    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -7.1e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 4.674 4.625 5.052 4.028
0.01 -0.17553 7.00000 1.1804348230 2.5041507086    1.180  0.081  3.7225  4.270    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.55e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 4.567 4.505 4.916 3.922
0.01 -0.17553 7.00000 1.2136859894 2.5087540760    1.213  0.151  3.7325  4.253    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.33e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 4.392 4.314 4.703 3.753
0.01 -0.17553 7.00000 1.2282608747 2.5106817348    1.228  0.184  3.7371  4.244    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.76e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 4.311 4.225 4.604 3.675
0.01 -0.17553 7.00000 1.2505719662 2.5135327228    1.250  0.236  3.7441  4.227    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.48e-14      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 4.180 4.087 4.450 3.552
0.01 -0.17553 7.00000 1.2760869265 2.5166529946    1.276  0.301  3.7523  4.204    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 4.018 3.917 4.262 3.400
0.01 -0.17553 7.00000 1.2868170738 2.5179227781    1.286  0.329  3.7558  4.194    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 3.948 3.844 4.182 3.335
0.01 -0.17553 7.00000 1.3156836033 2.5212208638    1.315  0.411  3.7654  4.160    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 3.744 3.633 3.950 3.147
0.01 -0.17553 7.00000 1.3239130974 2.5221308625    1.324  0.435  3.7682  4.149    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-13      0.00 7.230e-01 2.670e-01 1.774e-03 4.845e-04 4.401e-03 -1.000 1.000e-02 3.681 3.569 3.881 3.089
