# Synthetic cluster MASSCLEAN parameters:
# M = 500 Mo
# z = 0.008
# log(age) = 8.0
# Av = 1.0 / E(B-V) = 0.32
# d = 3 kpc / d_m = 12.39
#
# id  x  y  V  eV  BV  eBV
263  1994.893439  1545.026763  13.682508  0.033722  0.308594  0.033970
264  656.554931  312.601610  14.926451  0.022977  0.818580  0.031912
265  1319.195580  1668.375562  15.490399  0.031429  1.219421  0.030880
266  1730.933963  1452.305885  14.910378  0.022933  1.043428  0.065530
267  81.190145  936.212057  13.746610  0.022294  0.283505  0.050534
268  7.617194  468.298073  13.238781  0.042042  -0.157097  0.044133
269  15.804942  1761.517358  12.942863  0.023086  -0.226741  0.037708
270  1873.798675  244.205807  16.634500  0.058751  1.863008  0.059901
271  1978.083709  765.976256  14.020846  0.061473  0.404963  0.028992
272  376.806611  1003.268714  14.219872  0.024628  0.222997  0.037761
273  592.160342  1954.087994  17.505373  0.093621  2.173061  0.095324
274  767.378176  927.937414  13.312421  0.033542  -0.213066  0.023988
275  731.808554  515.968764  18.328975  0.050211  2.523065  0.084149
276  321.570212  587.346118  15.854657  0.039223  0.996723  0.027460
277  265.604972  433.156937  14.196496  0.025151  0.328398  0.057323
278  470.590552  337.167066  13.390896  0.034456  -0.157001  0.028309
279  1190.638594  405.596973  13.669039  0.028577  -0.028506  0.033997
280  564.093001  1848.917284  14.374341  0.036348  0.228459  0.037921
281  671.666326  632.163618  20.346419  0.120848  3.901635  0.185234
282  310.924815  1585.473117  13.224863  0.034078  -0.218090  0.025448
283  1116.044383  1726.596069  17.514961  0.043214  1.913993  0.065683
284  2010.506372  576.417851  17.655963  0.109103  2.018800  0.040394
285  1330.511888  1336.864020  13.525489  0.051599  -0.184727  0.023355
286  178.572763  146.207531  19.216506  0.113065  3.029447  0.123232
287  1766.687062  486.760994  14.331844  0.066428  0.536013  0.028298
288  196.390647  185.332307  14.692022  0.039196  0.862749  0.029796
289  541.122517  1512.626301  16.063311  0.063400  1.024987  0.066338
290  756.041229  319.674076  14.237594  0.021046  0.330175  0.037114
291  1860.267339  827.196830  14.136444  0.035921  0.073767  0.050533
292  212.281774  1544.184014  14.121058  0.037410  0.549060  0.037886
293  1817.554101  481.441259  15.551121  0.028141  1.011203  0.040452
294  23.543085  678.774584  14.757552  0.024328  0.337789  0.029787
295  1522.721394  1899.108292  14.200140  0.053531  0.399036  0.037047
296  968.332923  793.849866  18.797010  0.102685  2.887610  0.082149
297  1790.360288  332.932003  14.468642  0.034244  1.167409  0.043477
298  955.960379  1092.544874  14.996388  0.033275  0.779516  0.067811
299  1663.280573  2004.320615  14.578852  0.028137  0.878170  0.038502
2100  1575.594280  511.413527  19.648118  0.069203  3.184776  0.136515
2101  1546.381969  98.055060  19.636584  0.126973  2.882621  0.135031
2102  735.907444  410.303674  15.326177  0.081271  0.497716  0.033237
2103  354.778634  760.769876  15.282125  0.053424  0.415516  0.028083
2104  610.065125  246.505101  14.783372  0.035266  0.383988  0.052165
2105  281.464892  1054.121276  15.851856  0.030829  0.698818  0.038371
2106  784.266327  728.283857  17.639849  0.147209  1.885928  0.070848
2107  365.679681  1833.478953  14.883569  0.035408  0.824473  0.040311
2109  892.787997  842.612514  13.464460  0.035692  -0.339447  0.031815
2110  80.553717  1423.813195  14.731631  0.052306  0.230696  0.055362
2111  1994.958406  739.052342  16.010859  0.053826  0.870357  0.036780
2112  529.298428  944.977872  14.704932  0.026196  0.280688  0.068691
2113  492.806292  1216.680713  15.313804  0.025977  0.703291  0.054722
2114  1648.695707  424.319127  18.259764  0.109140  2.161210  0.046547
2115  1961.540789  153.302936  14.541399  0.047349  0.213136  0.034797
2116  399.300169  1113.199669  15.186607  0.062852  0.482307  0.036047
2117  2025.520852  423.066581  18.014554  0.075700  2.111085  0.108326
2118  1496.763690  163.228585  14.872889  0.025181  0.470126  0.032186
2119  1393.729414  601.703979  14.526955  0.024480  0.112998  0.041262
2120  1918.024417  1827.265615  19.778075  0.166749  2.799107  0.153920
2121  867.097331  1014.459450  14.348790  0.046994  -0.097739  0.061759
2122  1500.887999  1414.238793  14.870249  0.038392  0.842597  0.065754
2123  1272.842562  1204.593508  16.975925  0.056765  1.356824  0.060685
2124  395.721929  1254.947421  17.685562  0.052517  1.745554  0.045350
2125  1631.434683  522.491730  13.793821  0.031254  -0.307357  0.023618
2126  1837.881820  587.751198  16.614904  0.065011  1.233502  0.032015
2127  1115.063349  1544.450879  17.546469  0.037745  1.632780  0.048852
2128  1589.533544  996.828841  17.326019  0.119368  1.811510  0.035106
2129  1625.461652  825.379488  14.681248  0.060286  0.056368  0.039071
2130  327.222889  389.664955  14.907085  0.047478  0.428727  0.031135
2131  2007.399223  121.534406  15.087756  0.031375  0.929772  0.029453
2132  1692.970012  516.174623  15.241336  0.053065  0.448281  0.049430
2133  791.388517  19.123468  16.314425  0.041383  0.966993  0.051054
2134  1599.848103  1744.109527  17.716023  0.061028  1.737814  0.056544
2135  1281.253032  178.905205  18.379423  0.061802  2.570536  0.105959
2136  1546.256946  24.736137  15.961609  0.031522  0.993260  0.044671
2137  1289.612593  686.630339  19.999292  0.127207  3.042600  0.124431
2138  422.763978  1983.542603  15.898571  0.060352  0.598843  0.032646
2139  700.733214  156.644571  15.582409  0.032594  0.318932  0.034173
2140  1779.984657  716.174940  15.687620  0.031475  0.514305  0.040547
2141  562.458652  1157.722025  17.297926  0.043242  1.458598  0.084231
2142  869.181609  661.077127  15.541577  0.025893  0.663643  0.059654
2143  1789.497170  756.320134  19.539484  0.107040  2.583427  0.111504
2144  1745.518108  59.267371  13.928619  0.048211  -0.516704  0.026698
2145  907.199995  894.847454  16.761408  0.038010  0.821802  0.036131
2146  132.183269  412.068316  16.119690  0.083700  0.591323  0.047105
2147  428.606794  925.287723  19.385732  0.105135  2.683548  0.099125
2148  1834.900756  667.601512  20.545042  0.117555  3.281747  0.113967
2149  457.895686  1505.137760  14.398300  0.023342  -0.262369  0.032707
2150  66.549535  1419.501565  14.791384  0.031969  0.021511  0.025789
2151  862.215482  1613.893215  15.837681  0.072702  0.374077  0.028341
2152  818.701519  761.152730  15.321752  0.039795  0.196662  0.045754
2153  517.022593  615.977029  15.151250  0.058330  0.169123  0.062139
2154  1282.101480  1638.527407  14.745682  0.025292  -0.138887  0.052587
2155  1945.093519  2030.430925  18.437821  0.080440  1.767467  0.071595
2156  603.973575  84.986685  16.234155  0.071621  0.548109  0.040416
2157  1029.034785  1843.427908  15.350890  0.028911  0.345073  0.025137
2158  270.425565  577.672388  16.018368  0.041735  0.682611  0.038927
2159  1696.230024  664.849132  15.411429  0.065617  0.507874  0.028208
2160  1130.737898  577.032066  16.130455  0.040475  0.802565  0.028806
2161  1807.986800  1190.728633  17.094397  0.040613  1.101065  0.039997
2162  292.328313  1624.563433  16.023439  0.041586  0.378215  0.083693
2163  1971.933612  1754.193325  18.010118  0.049609  1.622041  0.066468
2164  1506.386095  1767.584092  15.689852  0.054093  0.596231  0.063157
2165  928.226833  67.538190  15.646263  0.039380  0.427595  0.029199
2166  938.105494  885.091230  15.444790  0.058410  0.474622  0.063373
2167  1929.294471  1133.232863  16.093639  0.036573  0.760923  0.064828
2168  239.255818  764.765446  19.736731  0.085708  2.915048  0.155571
2170  1016.792616  869.954880  15.841000  0.036356  0.638091  0.050015
2171  1446.415836  634.740417  18.497826  0.096517  2.040294  0.115185
2172  1441.504703  588.120929  15.942196  0.028200  0.610633  0.031420
2173  53.345344  1096.247599  16.056837  0.052505  0.575797  0.052821
2174  890.398108  1407.784571  15.618056  0.032554  0.414053  0.038031
2175  659.446655  444.999462  18.245138  0.059527  1.785408  0.095596
2176  935.090518  1732.562302  16.530278  0.054315  0.785661  0.038588
