# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Jun  1 21:54:08 CEST 2022
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0305 0.34439 7.00000 1.3992053270 2.5298883915    1.399  0.155  3.7132  4.234    0 4.382 4.333 4.766 3.736
0.0305 0.34439 7.00000 1.4362260103 2.5333614349    1.436  0.220  3.7215  4.213    0 4.220 4.152 4.566 3.574
0.0305 0.34439 7.00000 1.4491442442 2.5345253944    1.449  0.244  3.7246  4.205    0 4.160 4.086 4.493 3.515
0.0305 0.34439 7.00000 1.4553328753 2.5350747108    1.456  0.256  3.7260  4.201    0 4.131 4.055 4.459 3.487
0.0305 0.34439 7.00000 1.4932863712 2.5383286476    1.493  0.334  3.7353  4.171    0 3.936 3.844 4.227 3.296
0.0305 0.34439 7.00000 1.4990831614 2.5388090611    1.499  0.346  3.7367  4.166    0 3.904 3.810 4.190 3.265
0.0305 0.34439 7.00000 1.5098499060 2.5396900177    1.510  0.370  3.7394  4.156    0 3.844 3.746 4.120 3.207
0.0305 0.34439 7.00000 1.5412514210 2.5421786308    1.541  0.448  3.7479  4.122    0 3.651 3.542 3.898 3.021
0.0305 0.34439 7.00000 1.5490219593 2.5427765846    1.549  0.468  3.7500  4.112    0 3.599 3.488 3.840 2.972
0.0305 0.34439 7.00000 1.5558031797 2.5432927608    1.556  0.486  3.7519  4.103    0 3.554 3.441 3.788 2.928
0.0305 0.34439 7.00000 1.5778973103 2.5449392796    1.578  0.550  3.7585  4.072    0 3.395 3.275 3.609 2.778
0.0305 0.34439 7.00000 1.5983744860 2.5464186668    1.598  0.613  3.7650  4.041    0 3.238 3.111 3.431 2.629
0.0305 0.34439 7.00000 1.5989608765 2.5464603901    1.599  0.615  3.7652  4.040    0 3.233 3.106 3.426 2.624
0.0305 0.34439 7.00000 1.6168848276 2.5477190018    1.616  0.671  3.7713  4.012    0 3.091 2.960 3.267 2.491
0.0305 0.34439 7.00000 1.6357785463 2.5490112305    1.635  0.731  3.7782  3.985    0 2.942 2.805 3.098 2.352
0.0305 0.34439 7.00000 1.6488996744 2.5498888493    1.648  0.773  3.7832  3.967    0 2.838 2.698 2.981 2.257
0.0305 0.34439 7.00000 1.6497462988 2.5499448776    1.649  0.775  3.7836  3.966    0 2.831 2.691 2.974 2.251
0.0305 0.34439 7.00000 1.6694649458 2.5512323380    1.669  0.837  3.7920  3.944    0 2.678 2.534 2.800 2.113
0.0305 0.34439 7.00000 1.6738691330 2.5515151024    1.673  0.850  3.7940  3.939    0 2.645 2.499 2.761 2.083
0.0305 0.34439 7.00000 1.6842684746 2.5521759987    1.683  0.882  3.7987  3.929    0 2.565 2.419 2.672 2.014
0.0305 0.34439 7.00000 1.6988385916 2.5530865192    1.698  0.924  3.8061  3.920    0 2.460 2.311 2.549 1.924
0.0305 0.34439 7.00000 1.7030754089 2.5533478260    1.702  0.937  3.8083  3.918    0 2.428 2.279 2.513 1.897
0.0305 0.34439 7.00000 1.7195930481 2.5543527603    1.719  0.981  3.8179  3.916    0 2.318 2.169 2.385 1.810
0.0305 0.34439 7.00000 1.7238082886 2.5546054840    1.723  0.991  3.8205  3.918    0 2.293 2.143 2.355 1.790
0.0305 0.34439 7.00000 1.7439078093 2.5557920933    1.743  1.030  3.8338  3.936    0 2.194 2.044 2.233 1.724
0.0305 0.34439 7.00000 1.7487775087 2.5560748577    1.748  1.039  3.8371  3.942    0 2.172 2.023 2.206 1.711
0.0305 0.34439 7.00000 1.7492541075 2.5561025143    1.748  1.040  3.8375  3.942    0 2.170 2.021 2.203 1.710
0.0305 0.34439 7.00000 1.7605317831 2.5567500591    1.759  1.043  3.8436  3.967    0 2.163 2.017 2.189 1.720
0.0305 0.34439 7.00000 1.7737469673 2.5574967861    1.773  1.035  3.8487  3.999    0 2.183 2.039 2.203 1.754
0.0305 0.34439 7.00000 1.7815707922 2.5579328537    1.780  1.029  3.8516  4.018    0 2.198 2.055 2.214 1.777
0.0305 0.34439 7.00000 1.7982370853 2.5588474274    1.797  0.996  3.8527  4.059    0 2.279 2.137 2.296 1.862
0.0305 0.34439 7.00000 1.7987163067 2.5588734150    1.798  0.995  3.8527  4.060    0 2.282 2.140 2.298 1.864
0.0305 0.34439 7.00000 1.8103026152 2.5594973564    1.809  0.966  3.8514  4.087    0 2.354 2.213 2.373 1.933
0.0305 0.34439 7.00000 1.8214247227 2.5600876808    1.820  0.940  3.8493  4.108    0 2.421 2.279 2.444 1.994
0.0305 0.34439 7.00000 1.8236858845 2.5602068901    1.823  0.935  3.8489  4.111    0 2.433 2.292 2.457 2.005
0.0305 0.34439 7.00000 1.8285554647 2.5604619980    1.827  0.924  3.8479  4.119    0 2.460 2.319 2.486 2.030
0.0305 0.34439 7.00000 1.8418767452 2.5611519814    1.841  0.905  3.8460  4.134    0 2.506 2.365 2.535 2.071
0.0305 0.34439 7.00000 1.8486553431 2.5614988804    1.848  0.905  3.8459  4.135    0 2.507 2.365 2.535 2.071
0.0305 0.34439 7.00000 1.8655959368 2.5623526573    1.864  0.898  3.8449  4.142    0 2.525 2.383 2.555 2.086
0.0305 0.34439 7.00000 1.8731008768 2.5627253056    1.872  0.899  3.8448  4.143    0 2.523 2.381 2.554 2.084
0.0305 0.34439 7.00000 1.8736246824 2.5627512932    1.873  0.900  3.8449  4.142    0 2.521 2.379 2.551 2.083
0.0305 0.34439 7.00000 1.8985940218 2.5639660358    1.898  0.933  3.8496  4.133    0 2.437 2.296 2.460 2.011
0.0305 0.34439 7.00000 1.9235634804 2.5651445389    1.923  0.967  3.8562  4.132    0 2.352 2.214 2.368 1.946
0.0305 0.34439 7.00000 1.9485074282 2.5662870407    1.948  1.003  3.8620  4.124    0 2.262 2.127 2.270 1.873
0.0305 0.34439 7.00000 1.9983949661 2.5684742928    1.999  1.072  3.8762  4.124    0 2.091 1.964 2.085 1.746
0.0305 0.34439 7.00000 2.0199155807 2.5693795681    2.020  1.102  3.8830  4.126    0 2.016 1.894 2.005 1.694
0.0305 0.34439 7.00000 2.0482826233 2.5705394745    2.048  1.142  3.8934  4.134    0 1.916 1.804 1.899 1.631
0.0305 0.34439 7.00000 2.0981702805 2.5724921227    2.097  1.238  3.9218  4.161    0 1.675 1.605 1.659 1.504
0.0305 0.34439 7.00000 2.1103110313 2.5729510784    2.109  1.260  3.9280  4.166    0 1.620 1.563 1.610 1.477
0.0305 0.34439 7.00000 2.1268165112 2.5735657215    2.126  1.266  3.9324  4.182    0 1.606 1.559 1.600 1.482
0.0305 0.34439 7.00000 2.1354479790 2.5738828182    2.134  1.275  3.9344  4.181    0 1.581 1.539 1.577 1.466
0.0305 0.34439 7.00000 2.1408662796 2.5740802288    2.139  1.297  3.9397  4.182    0 1.528 1.499 1.532 1.438
0.0305 0.34439 7.00000 2.1448264122 2.5742239952    2.143  1.317  3.9457  4.186    0 1.476 1.464 1.490 1.415
0.0305 0.34439 7.00000 2.1480579376 2.5743408203    2.147  1.331  3.9504  4.192    0 1.443 1.445 1.467 1.404
0.0305 0.34439 7.00000 2.1492495537 2.5743837357    2.148  1.333  3.9511  4.194    0 1.438 1.442 1.464 1.403
0.0305 0.34439 7.00000 2.1979458332 2.5760931969    2.197  1.364  3.9688  4.243    0 1.359 1.426 1.433 1.415
0.0305 0.34439 7.00000 2.1980247498 2.5760958195    2.197  1.364  3.9688  4.243    0 1.359 1.426 1.433 1.415
0.0305 0.34439 7.00000 2.2116289139 2.5765581131    2.210  1.368  3.9711  4.251    0 1.350 1.426 1.431 1.419
0.0305 0.34439 7.00000 2.2334151268 2.5772845745    2.232  1.377  3.9739  4.257    0 1.328 1.415 1.418 1.411
0.0305 0.34439 7.00000 2.2478332520 2.5777566433    2.246  1.381  3.9755  4.263    0 1.318 1.411 1.413 1.410
0.0305 0.34439 7.00000 2.2482810020 2.5777711868    2.247  1.381  3.9756  4.263    0 1.318 1.411 1.413 1.410
0.0305 0.34439 7.00000 2.2977209091 2.5793371201    2.296  1.400  3.9803  4.273    0 1.271 1.384 1.383 1.389
0.0305 0.34439 7.00000 2.3257000446 2.5801894665    2.324  1.418  3.9840  4.274    0 1.224 1.353 1.348 1.362
0.0305 0.34439 7.00000 2.3974962234 2.5822725296    2.396  1.472  3.9940  4.273    0 1.089 1.262 1.251 1.284
0.0305 0.34439 7.00000 2.5970468521 2.5873727798    2.597  1.613  4.0201  4.272    0 0.739 1.032 1.007 1.081
0.0305 0.34439 7.00000 2.7965972424 2.5916450024    2.797  1.737  4.0433  4.273    0 0.429 0.835 0.799 0.903
0.0305 0.34439 7.00000 2.9961481094 2.5952696800    2.996  1.856  4.0647  4.269    0 0.130 0.642 0.598 0.726
0.0305 0.34439 7.00000 3.1956987381 2.5983788967    3.195  1.968  4.0843  4.264    0 -0.149 0.463 0.413 0.560
0.0305 0.34439 7.00000 3.3952493668 2.6010715961    3.394  2.073  4.1027  4.258    1 -0.412 0.296 0.240 0.404
0.0305 0.34439 7.00000 3.5947995186 2.6034233570    3.592  2.169  4.1193  4.253    0 -0.654 0.145 0.082 0.262
0.0305 0.34439 7.00000 3.7943503857 2.6054928303    3.792  2.262  4.1352  4.248    1 -0.884 0.001 -0.066 0.128
0.0305 0.34439 7.00000 3.9939012527 2.6073265076    3.994  2.348  4.1498  4.242    1 -1.101 -0.134 -0.207 0.001
0.0305 0.34439 7.00000 4.1934518814 2.6089608669    4.191  2.431  4.1636  4.236    1 -1.307 -0.263 -0.340 -0.120
0.0305 0.34439 7.00000 4.3930025101 2.6104257107    4.390  2.509  4.1763  4.229    1 -1.502 -0.386 -0.467 -0.235
0.0305 0.34439 7.00000 4.5522494316 2.6114892960    4.549  2.569  4.1862  4.224    1 -1.652 -0.479 -0.562 -0.322
0.0305 0.34439 7.00000 4.5925526619 2.6117451191    4.590  2.584  4.1887  4.223    1 -1.689 -0.502 -0.586 -0.344
0.0305 0.34439 7.00000 4.7921037674 2.6129388809    4.790  2.655  4.2001  4.216    1 -1.866 -0.614 -0.702 -0.449
0.0305 0.34439 7.00000 4.7984828949 2.6129751205    4.796  2.657  4.2004  4.216    1 -1.872 -0.617 -0.705 -0.453
0.0305 0.34439 7.00000 4.9916543961 2.6140234470    4.990  2.723  4.2112  4.210    1 -2.037 -0.721 -0.812 -0.550
0.0305 0.34439 7.00000 5.0987744331 2.6145656109    5.098  2.759  4.2168  4.206    1 -2.127 -0.778 -0.870 -0.603
0.0305 0.34439 7.00000 5.1912045479 2.6150128841    5.191  2.789  4.2216  4.203    1 -2.202 -0.826 -0.920 -0.649
0.0305 0.34439 7.00000 5.3139390945 2.6155791283    5.314  2.828  4.2277  4.199    1 -2.299 -0.888 -0.984 -0.707
0.0305 0.34439 7.00000 5.3907556534 2.6159186363    5.391  2.852  4.2315  4.196    1 -2.359 -0.926 -1.023 -0.743
0.0305 0.34439 7.00000 5.5903058052 2.6167502403    5.591  2.912  4.2410  4.189    1 -2.511 -1.022 -1.122 -0.834
0.0305 0.34439 7.00000 5.7503871918 2.6173696518    5.751  2.959  4.2483  4.184    1 -2.627 -1.097 -1.199 -0.905
0.0305 0.34439 7.00000 5.7898569107 2.6175162792    5.790  2.970  4.2501  4.183    1 -2.656 -1.115 -1.218 -0.922
0.0305 0.34439 7.00000 5.9894065857 2.6182239056    5.990  3.027  4.2587  4.176    1 -2.796 -1.206 -1.311 -1.008
0.0305 0.34439 7.00000 6.1889572144 2.6188795567    6.189  3.081  4.2670  4.169    1 -2.932 -1.295 -1.402 -1.091
0.0305 0.34439 7.00000 6.3699159622 2.6194331646    6.368  3.129  4.2743  4.162    1 -3.052 -1.372 -1.482 -1.165
0.0305 0.34439 7.00000 6.3885087967 2.6194880009    6.387  3.134  4.2750  4.162    1 -3.064 -1.380 -1.490 -1.173
0.0305 0.34439 7.00000 6.5836749077 2.6200423241    6.576  3.182  4.2823  4.155    1 -3.185 -1.459 -1.570 -1.247
0.0305 0.34439 7.00000 6.6152167320 2.6201283932    6.607  3.190  4.2835  4.154    1 -3.204 -1.472 -1.584 -1.260
0.0305 0.34439 7.00000 7.1691746712 2.6214993000    7.156  3.323  4.3030  4.134    1 -3.537 -1.693 -1.810 -1.471
0.0305 0.34439 7.00000 7.3146152496 2.6218197346    7.302  3.356  4.3077  4.128    1 -3.620 -1.749 -1.867 -1.524
0.0305 0.34439 7.00000 7.9269456863 2.6230223179    7.918  3.491  4.3265  4.104    1 -3.957 -1.980 -2.103 -1.746
0.0305 0.34439 7.00000 8.1450071335 2.6234006882    8.137  3.537  4.3327  4.094    1 -4.073 -2.060 -2.185 -1.823
0.0305 0.34439 7.00000 8.3548860550 2.6237435341    8.346  3.580  4.3384  4.085    1 -4.179 -2.135 -2.261 -1.895
0.0305 0.34439 7.00000 8.9266319275 2.6245841980    8.916  3.692  4.3528  4.060    1 -4.459 -2.334 -2.465 -2.088
0.0305 0.34439 7.00000 9.1208391190 2.6248421669    9.110  3.729  4.3575  4.051    1 -4.552 -2.402 -2.533 -2.153
0.0305 0.34439 7.00000 9.2037315369 2.6249485016    9.193  3.744  4.3593  4.047    1 -4.590 -2.429 -2.561 -2.180
0.0305 0.34439 7.00000 9.6746606827 2.6255133152    9.667  3.829  4.3694  4.024    1 -4.802 -2.587 -2.721 -2.333
0.0305 0.34439 7.00000 10.0966711044 2.6259679794   10.091  3.904  4.3776  4.001    1 -4.989 -2.729 -2.865 -2.472
0.0305 0.34439 7.00000 10.1141414642 2.6259858608   10.109  3.907  4.3779  4.000    1 -4.997 -2.735 -2.871 -2.477
0.0305 0.34439 7.00000 10.5181741714 2.6263806820   10.514  3.975  4.3849  3.977    1 -5.167 -2.869 -3.006 -2.608
0.0305 0.34439 7.00000 10.8940753937 2.6267180443   10.892  4.037  4.3908  3.953    1 -5.322 -2.993 -3.132 -2.730
0.0305 0.34439 7.00000 11.0725040436 2.6268689632   11.071  4.066  4.3933  3.942    1 -5.394 -3.053 -3.192 -2.788
0.0305 0.34439 7.00000 11.1778860092 2.6269552708   11.176  4.082  4.3948  3.935    1 -5.436 -3.087 -3.226 -2.821
0.0305 0.34439 7.00000 11.5305004120 2.6272315979   11.528  4.137  4.3992  3.911    1 -5.572 -3.201 -3.342 -2.934
0.0305 0.34439 7.00000 11.8620567322 2.6274743080   11.859  4.188  4.4028  3.887    1 -5.700 -3.311 -3.453 -3.042
0.0305 0.34439 7.00000 12.0483350754 2.6276040077   12.044  4.217  4.4044  3.872    1 -5.772 -3.375 -3.517 -3.106
0.0305 0.34439 7.00000 12.3020420074 2.6277732849   12.290  4.253  4.4063  3.852    1 -5.863 -3.458 -3.600 -3.187
0.0305 0.34439 7.00000 12.7795524597 2.6280710697   12.750  4.321  4.4087  3.810    1 -6.032 -3.617 -3.760 -3.345
0.0305 0.34439 7.00000 13.2026538849 2.6283142567   13.155  4.380  4.4098  3.769    1 -6.179 -3.761 -3.905 -3.489
0.0305 0.34439 7.00000 13.5810489655 2.6285171509   13.515  4.432  4.4095  3.727    1 -6.310 -3.897 -4.041 -3.626
0.0305 0.34439 7.00000 13.9338302612 2.6286947727   13.849  4.481  4.4078  3.681    1 -6.433 -4.033 -4.176 -3.762
0.0305 0.34439 7.00000 14.0000000000 2.6287269592   13.912  4.490  4.4072  3.672    0 -6.456 -4.060 -4.203 -3.789
0.0305 0.34439 7.00000 14.3244323730 2.6288800240   14.220  4.532  4.4045  3.628    0 -6.561 -4.182 -4.325 -3.913
0.0305 0.34439 7.00000 14.7454061508 2.6290669441   14.618  4.587  4.3991  3.564    0 -6.697 -4.350 -4.492 -4.084
0.0305 0.34439 7.00000 15.1089143753 2.6292185783   14.959  4.634  4.3920  3.499    0 -6.814 -4.510 -4.650 -4.247
0.0305 0.34439 7.00000 15.4456148148 2.6293518543   15.268  4.677  4.3830  3.429    0 -6.923 -4.671 -4.809 -4.414
0.0305 0.34439 7.00000 15.6717739105 2.6294376850   15.471  4.706  4.3757  3.376    0 -6.995 -4.786 -4.923 -4.534
0.0305 0.34439 7.00000 15.8755350113 2.6295127869   15.634  4.732  4.3676  3.323    0 -7.059 -4.897 -5.032 -4.649
0.0305 0.34439 7.00000 16.0000000000 2.6295573711   15.714  4.747  4.3611  3.284    0 -7.098 -4.973 -5.105 -4.728
0.0305 0.34439 7.00000 16.0573024750 2.6295778751   15.749  4.754  4.3582  3.266    0 -7.114 -5.006 -5.138 -4.763
0.0305 0.34439 7.00000 16.2151985168 2.6296329498   15.836  4.772  4.3492  3.215    0 -7.159 -5.103 -5.232 -4.864
0.0305 0.34439 7.00000 16.3685932159 2.6296851635   15.914  4.789  4.3401  3.163    0 -7.203 -5.198 -5.326 -4.964
0.0305 0.34439 7.00000 16.5275287628 2.6297383308   15.990  4.809  4.3330  3.117    0 -7.252 -5.288 -5.414 -5.058
0.0305 0.34439 7.00000 16.7570667267 2.6298129559   16.086  4.844  4.3356  3.095    0 -7.339 -5.363 -5.489 -5.131
0.0305 0.34439 7.00000 16.7937564850 2.6298246384   16.099  4.855  4.3444  3.120    0 -7.367 -5.342 -5.471 -5.107
0.0305 0.34439 7.00000 16.8064155579 2.6298286915   16.103  4.866  4.3546  3.149    0 -7.395 -5.315 -5.445 -5.075
0.0305 0.34439 7.00000 16.8129520416 2.6298308372   16.105  4.883  4.3666  3.180    0 -7.438 -5.293 -5.427 -5.047
0.0305 0.34439 7.00000 16.8154735565 2.6298315525   16.105  4.899  4.3754  3.199    0 -7.478 -5.285 -5.421 -5.035
0.0305 0.34439 7.00000 16.8158760071 2.6298317909   16.106  4.902  4.3771  3.203    0 -7.486 -5.284 -5.420 -5.033
