EDR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,_x,_y,Gmag,BP-RP,e_Gmag,e_BP-RP
133,115.9529,-24.0849,0.256,0.112,-6.159,0.079,2.116,0.119,-0.232,-0.172,18.118,1.227,0.003,0.012
134,115.9488,-24.0784,0.394,0.096,-0.47,0.069,1.667,0.101,-0.226,-0.175,17.839,1.303,0.003,0.01
135,115.9569,-24.084,0.242,0.158,-0.867,0.111,4.233,0.167,-0.231,-0.168,18.445,1.436,0.003,0.021
136,115.9444,-24.0844,0.206,0.046,-2.794,0.034,3.818,0.048,-0.232,-0.179,16.508,0.843,0.003,0.006
137,115.9084,-24.0955,0.261,0.186,-1.742,0.122,2.443,0.198,-0.243,-0.212,18.834,1.36,0.003,0.023
138,115.9076,-24.0945,0.183,0.045,-1.731,0.031,2.643,0.046,-0.242,-0.213,16.501,0.846,0.003,0.006
139,115.9059,-24.1018,0.6,0.078,-2.465,0.052,0.785,0.082,-0.249,-0.215,17.459,1.431,0.003,0.01
140,115.8959,-24.1022,0.261,0.072,-0.655,0.051,3.272,0.075,-0.249,-0.224,17.376,1.119,0.003,0.008
141,115.9186,-24.0937,0.216,0.163,-0.166,0.109,3.106,0.174,-0.241,-0.203,18.72,1.365,0.003,0.022
142,115.9104,-24.0914,0.583,0.154,-4.691,0.104,4.807,0.162,-0.239,-0.21,18.596,1.423,0.003,0.023
143,115.9193,-24.0886,0.356,0.195,-3.128,0.124,0.588,0.207,-0.236,-0.202,18.887,1.362,0.003,0.031
144,115.9155,-24.0864,0.705,0.18,-4.533,0.12,7.573,0.196,-0.234,-0.206,18.77,1.751,0.003,0.028
145,115.9185,-24.0863,0.085,0.118,-2.618,0.08,1.883,0.125,-0.233,-0.203,18.21,1.228,0.003,0.015
146,115.918,-24.0982,1.325,0.159,-5.142,0.105,3.536,0.168,-0.245,-0.204,18.606,2.557,0.003,0.038
147,115.9134,-24.0987,0.399,0.01,1.248,0.007,4.534,0.01,-0.246,-0.208,12.32,1.722,0.003,0.005
148,115.9079,-24.0923,0.243,0.036,-2.912,0.025,4.29,0.036,-0.239,-0.213,16.065,0.919,0.003,0.005
149,115.918,-24.0992,1.286,0.045,-5.39,0.031,3.133,0.047,-0.246,-0.204,16.473,1.444,0.003,0.008
150,115.8909,-24.0955,0.922,0.842,-0.655,0.585,7.08,0.914,-0.243,-0.228,18.712,1.84,0.007,0.02
151,115.8981,-24.0855,1.122,0.024,-8.774,0.016,2.723,0.024,-0.233,-0.222,15.137,0.895,0.003,0.005
152,115.9011,-24.0904,0.121,0.016,-1.222,0.011,1.519,0.016,-0.238,-0.219,14.159,2.579,0.003,0.005
153,115.9006,-24.0918,0.28,0.178,-1.328,0.117,0.78,0.186,-0.239,-0.219,18.825,1.806,0.003,0.033
154,115.8951,-24.0851,0.7,0.014,-2.999,0.01,6.359,0.015,-0.232,-0.224,13.76,0.719,0.003,0.005
155,115.8939,-24.0911,0.097,0.022,-1.333,0.015,1.966,0.022,-0.238,-0.226,14.968,0.646,0.003,0.005
156,115.8953,-24.0934,0.454,0.077,-0.735,0.052,2.19,0.08,-0.241,-0.224,17.498,1.23,0.003,0.009
157,115.8925,-24.0917,1.115,0.03,-0.668,0.02,0.552,0.03,-0.239,-0.227,13.744,0.796,0.003,0.005
158,115.8926,-24.0985,0.433,0.073,2.612,0.05,-3.565,0.076,-0.246,-0.227,17.403,1.3,0.003,0.011
159,115.8889,-24.0952,0.312,0.03,-2.278,0.021,3.201,0.031,-0.242,-0.23,15.679,0.783,0.003,0.005
160,115.9067,-24.0891,0.117,0.055,-1.261,0.038,2.381,0.056,-0.236,-0.214,16.9,1.19,0.003,0.007
161,115.9131,-24.0808,0.461,0.115,-0.339,0.077,1.224,0.121,-0.228,-0.208,18.176,1.204,0.003,0.015
162,115.9057,-24.0787,0.165,0.139,-2.522,0.093,4.168,0.148,-0.226,-0.215,18.463,1.233,0.003,0.021
