DR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
6961,6.5295,61.4376,0.1174,0.1214,2.362,-2.24,0.102,-0.75,0.126,18.33907,0.003033,1.519432,0.0287
6962,6.5267,61.443,0.3179,0.0337,2.461,-2.413,0.03,-0.481,0.034,15.922049,0.002787,0.85463,0.0061
6963,6.5364,61.4527,0.0377,0.0898,1.828,-1.075,0.077,-1.478,0.09,17.687792,0.002898,1.444883,0.0142
6964,6.5336,61.4429,0.1802,0.0224,1.272,-1.21,0.019,-0.392,0.023,15.086047,0.002772,2.000286,0.0053
6965,6.5058,61.4438,-0.1332,0.1274,1.891,-1.89,0.104,-0.06,0.123,18.321772,0.003037,1.580477,0.0387
6966,6.48,61.4554,0.5027,0.0465,3.65,-2.325,0.037,-2.814,0.044,16.442036,0.002799,1.280924,0.0063
6967,6.4933,61.4502,0.5299,0.0368,1.378,-0.529,0.031,-1.272,0.036,16.094807,0.002783,1.143449,0.0057
6968,6.4857,61.4608,0.4465,0.1333,3.67,-3.329,0.113,-1.544,0.15,18.420658,0.003081,1.2647,0.0494
6969,6.4838,61.4697,1.0434,0.0535,1.764,1.17,0.045,1.32,0.054,16.859404,0.002812,1.568649,0.0096
6970,6.482,61.46,0.4383,0.0126,2.747,-2.174,0.011,-1.68,0.013,12.71834,0.002762,0.441448,0.0047
6971,6.522,61.4596,0.6702,0.0933,1.488,-1.482,0.077,-0.133,0.09,17.721035,0.002951,1.773821,0.0167
6972,6.5216,61.4695,0.7272,0.033,3.001,-2.914,0.029,0.717,0.035,15.897328,0.002798,1.165472,0.006
6973,6.5299,61.4562,0.4813,0.0754,4.813,-4.796,0.066,0.406,0.088,15.412709,0.002848,1.027814,0.0115
6974,6.5393,61.4634,0.4924,0.0122,0.63,-0.032,0.011,-0.629,0.013,13.477464,0.002769,0.516097,0.0048
6975,6.5384,61.4623,0.236,0.0421,0.767,-0.767,0.036,0.02,0.043,16.268045,0.002796,1.031423,0.0085
6976,6.5401,61.4625,0.8703,0.1309,12.099,-8.427,0.119,-8.682,0.159,18.204279,0.003174,1.48263,0.1217
