Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,Gmag,BP-RP,e_Gmag,e_BP-RP
2235,121.5201,-61.0577,2.4220,0.1534,-5.0440,0.1926,10.6946,0.1901,,,17.6232,2.7603,0.0031,0.0317
2236,118.7650,-60.4792,2.3744,0.0252,-4.6383,0.0346,11.7740,0.0297,,,15.6524,1.6701,0.0030,0.0079
2237,120.5093,-61.1924,2.4178,0.0856,-5.1130,0.1098,11.4915,0.1168,,,17.9283,2.6419,0.0030,0.0270
2238,120.3281,-61.2265,2.4071,0.0906,-4.6910,0.1225,11.1974,0.1101,,,18.0186,2.6276,0.0030,0.0429
2239,118.7979,-60.4771,2.4340,0.0090,-4.6043,0.0122,11.0780,0.0111,27.7041,3.0320,12.0373,0.8869,0.0028,0.0048
2240,118.8098,-60.4888,2.4859,0.0916,-4.4972,0.1314,11.7310,0.1196,,,18.1483,2.8857,0.0031,0.0431
2241,121.4704,-61.0966,2.4828,0.0186,-4.3690,0.0240,10.8334,0.0232,28.1963,4.8570,11.8567,0.6997,0.0028,0.0047
2242,121.3914,-61.1256,2.5040,0.0793,-5.7042,0.1127,11.5462,0.1027,,,17.7050,2.6219,0.0030,0.0250
2243,118.1918,-60.6649,2.4428,0.0297,-3.9774,0.0429,10.9413,0.0418,,,16.1272,1.8639,0.0031,0.0090
2244,118.8347,-60.4655,2.6363,0.1253,-4.8663,0.1598,11.0913,0.1687,,,18.7107,2.9302,0.0034,0.0805
2245,118.3564,-60.8890,2.4551,0.0106,-3.7839,0.0132,11.0144,0.0133,15.4551,3.1024,12.3336,0.8851,0.0028,0.0048
2246,118.4511,-61.3646,2.4376,0.0953,-3.3354,0.1101,11.5499,0.1152,,,17.1400,2.7611,0.0030,0.0221
2247,117.9078,-62.4287,2.2684,0.0147,-4.6408,0.0194,10.5181,0.0187,23.1514,2.0328,12.8572,0.8611,0.0028,0.0053
2248,118.8446,-60.4608,2.5551,0.0574,-4.7455,0.0775,11.8162,0.0741,,,17.1407,2.2003,0.0029,0.0972
2249,120.2572,-61.2432,2.4386,0.0204,-4.3897,0.0267,11.1433,0.0243,20.3817,2.1885,10.3600,0.2919,0.0028,0.0047
2250,118.5057,-60.8485,2.3669,0.0424,-4.0186,0.0706,10.7576,0.0596,19.0417,16.9871,15.2376,1.6712,0.0037,0.0056
2251,119.5436,-60.8659,2.4998,0.0199,-4.5263,0.0244,9.9261,0.0246,,,9.4731,0.2980,0.0028,0.0048
2252,121.3746,-62.7085,2.4197,0.0380,-5.3339,0.0542,11.6332,0.0418,,,16.3357,1.9505,0.0028,0.0074
2253,119.1456,-58.8321,2.4579,0.0126,-5.4480,0.0160,11.1885,0.0163,22.2797,3.8315,13.8754,1.1692,0.0028,0.0057
2254,120.3811,-61.2571,2.4762,0.0311,-4.9198,0.0449,11.1285,0.0404,,,16.1501,1.8738,0.0031,0.0093
2255,120.0385,-60.3729,2.4164,0.1664,-4.5660,0.2167,11.6066,0.2197,,,18.6917,3.0262,0.0033,0.0723
2256,120.4446,-61.6484,2.3436,0.1527,-5.1245,0.2269,10.9961,0.1816,,,18.6820,2.5699,0.0033,0.0856
2257,120.7624,-61.3409,2.0063,0.0367,-3.9063,0.0479,10.6658,0.0474,,,16.4823,1.8893,0.0028,0.0077
2258,119.9640,-60.6970,2.5559,0.1566,-4.2880,0.2095,10.6919,0.2005,,,18.7274,2.7466,0.0035,0.0805
