Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,Gmag,BP-RP,e_Gmag,e_BP-RP
763,119.0076,-60.6485,2.4375,0.0363,-4.5922,0.0563,11.1247,0.0452,,,16.2967,2.2369,0.0029,0.0127
764,119.4892,-61.3836,2.439,0.0117,-5.0436,0.0154,11.6992,0.0149,23.7917,3.5842,13.8373,1.1211,0.0029,0.006
765,118.9894,-60.6954,2.3745,0.0733,-4.1068,0.1098,10.7588,0.0926,,,17.4863,2.4613,0.003,0.0216
766,117.869,-63.0104,2.5356,0.035,-4.0676,0.0447,12.4497,0.045,,,16.1164,1.902,0.0028,0.0101
767,118.982,-60.6943,2.4191,0.0617,-5.1799,0.0917,10.1968,0.0763,22.1263,1.3612,12.7134,0.9059,0.0028,0.005
769,119.3006,-60.5524,2.2958,0.014,-4.8325,0.0173,10.7466,0.0169,55.0115,8.1836,14.3404,1.2079,0.0029,0.006
770,119.2927,-60.5626,2.5708,0.0903,-3.9553,0.117,11.6867,0.0992,,,17.8122,2.5278,0.003,0.0263
771,119.4363,-61.3924,2.2795,0.0668,-4.7642,0.0913,11.1446,0.0929,,,17.5093,2.4857,0.0029,0.0217
773,119.3256,-60.5805,2.4446,0.0243,-4.6408,0.0329,11.0734,0.0261,12.2491,3.3573,10.1708,0.2587,0.0028,0.0047
774,119.4014,-61.3581,2.4604,0.0403,-4.8895,0.0521,11.5743,0.052,,,16.4923,2.0114,0.0029,0.0093
776,119.484,-61.3655,2.5009,0.0342,-4.0118,0.0469,11.4352,0.0401,21.0162,2.0416,10.3654,0.334,0.0028,0.0047
777,119.4656,-61.3116,2.4331,0.018,-4.207,0.0243,11.3729,0.0206,23.1738,6.8682,14.8264,1.3633,0.0028,0.0058
779,119.4873,-61.3122,2.2388,0.0971,-4.7227,0.1384,11.5303,0.1104,,,17.9355,2.6662,0.003,0.0388
780,119.0093,-60.646,2.4322,0.013,-5.1472,0.0191,11.3883,0.0163,25.2765,2.2168,13.379,1.0191,0.0029,0.0057
783,119.0738,-60.6083,2.434,0.0108,-4.1217,0.0158,11.7949,0.0135,18.2017,3.2172,11.5709,0.6456,0.0028,0.0075
784,118.8863,-60.6187,2.4389,0.0397,-4.3465,0.0529,11.5417,0.0482,,,16.4958,2.0956,0.0029,0.0086
785,119.2083,-61.5388,2.5974,0.0694,-4.7658,0.1033,11.0764,0.0997,,,17.3182,2.3729,0.003,0.0191
787,119.2871,-61.4885,2.4754,0.0448,-4.8731,0.0582,11.1259,0.0605,,,16.7714,2.1626,0.0029,0.011
